"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Spees, Trey","2026",111,95,78,0.291,0.273
"Travisano, Matt","2024",185,176,142,0.291,0.335
"Wideman, Ryan","2024",83,70,52,0.291,0.292
"Woodie, Tony","2026",150,124,85,0.291,0.31
"Abrams, Kohl","2022",497,471,431,0.29,0.302
"D'Amato, Hunter","2023",78,70,62,0.29,0.276
"DiTullio, Tommy","2022",418,391,340,0.29,0.31
"Dulin, Caden","2024",590,551,523,0.29,0.298
"Guachione, Nick","2024",59,52,42,0.29,0.293
"Jones, Brendan","2023",301,283,251,0.29,0.298
"Moroney, Reece","2024",583,467,399,0.29,0.306
"Natividad, Gabriel","2026",180,164,157,0.29,0.267
"O'Neill, Dean","2024",552,518,490,0.29,0.31
"Puig, Ethan","2025",258,240,228,0.29,0.285
"Becchetti, Mike","2022",268,224,196,0.289,0.318
"Flores, Nick","2026",202,165,135,0.289,0.264
"Gamester, Dennis","2025",136,110,88,0.289,0.243
"Gilliland, Hayden","2021",121,97,87,0.289,0.315
"Peyton, Jordan","2023",548,492,446,0.289,0.281
"Ramppen, Zack","2024",87,87,83,0.289,0.303
"Tirado, Anthony","2026",165,142,115,0.289,0.277
"Borrelli, Michael","2022",309,276,224,0.288,0.323
"Haley, Jack","2023",85,81,63,0.288,0.344
"Kopack, Addison","2022",562,509,445,0.288,0.288
"Polemeni, Chris","2026",123,106,78,0.288,0.304
"Taylor, Jackson","2022",435,372,352,0.288,0.258
"Wilson, Harrison","2024",226,198,164,0.288,0.296
"De La Cruz, Juan","2024",297,281,243,0.287,0.305
"Dieguez, Matthew","2026",10,7,5,0.287,0.161
"Duff, Will","2021",62,60,52,0.287,0.316
"Leikus, Danny","2026",183,161,136,0.287,0.275
"Luccini, Alex","2023",82,80,68,0.287,0.325
"Menzel, Evan","2026",131,110,98,0.287,0.249
"Rogers, Drew","2021",48,46,44,0.287,0.282
"Schuyler, T.J.","2025",364,346,300,0.287,0.321
"Stelly, Caleb","2023",288,262,228,0.287,0.312
"Stephenson, Zach","2022",218,184,152,0.287,0.298
"Williamson, Ben","2022",329,323,299,0.287,0.302
"Gustin, Jake","2022",415,394,348,0.286,0.303
"Krause, Jack","2022",352,323,247,0.286,0.348
"Worcester, Chris","2023",298,270,252,0.286,0.294
"Arias, Owen","2025",287,264,238,0.285,0.277
"Colasante, Gio","2025",173,157,127,0.285,0.323
"Lea, Jeremy","2021",332,310,276,0.285,0.288
"Turenne, Ryan","2021",119,117,99,0.285,0.329
"Winsett, Sam","2026",16,14,12,0.285,0.264
"Binder, William","2022",402,380,328,0.284,0.321
"Craigue, Brooks","2026",24,20,16,0.284,0.254
"Davis, Jared","2024",806,759,679,0.284,0.309
"Goforth, Evan","2023",352,330,294,0.284,0.289
"Jamison, Aaron","2026",6,4,2,0.284,0.163
"Lopez, Nelphie","2026",217,200,169,0.284,0.312
"Stang, Bobby","2025",351,325,293,0.284,0.288
"Wells, Tyler","2023",43,37,29,0.284,0.278
"Bogue, Charlie","2024",21,17,17,0.283,0.188
"Connolly, Brian","2026",228,207,172,0.283,0.291
"Marshall, Jackson","2026",235,203,175,0.283,0.289
"Payne, Jared","2021",76,70,60,0.283,0.29
"Stern, Aidan","2025",142,114,104,0.283,0.286
"Terranova, Joe","2025",114,87,65,0.283,0.252
"Thompson, Zack","2025",288,268,240,0.283,0.294
"Burley, Jacob","2023",398,359,317,0.282,0.288
"Fernandez, Eric","2024",196,184,154,0.282,0.306
"Grotyohann, Connor","2025",127,114,98,0.282,0.274
"Rubino, Nick","2026",160,137,121,0.282,0.27
"Walsh, Chris","2025",118,110,78,0.282,0.357
"Burley, Jacob","2024",312,273,243,0.281,0.261
"Mercedes, Cristian","2023",115,101,91,0.281,0.249
"Myers, Chaz","2023",248,206,184,0.281,0.27
"Posey, Aaron","2024",114,102,60,0.281,0.42
"Trigiani, Luca","2023",340,308,276,0.281,0.306
"Blaser, Bryce","2024",409,352,296,0.28,0.287
"Brown, Michael","2026",130,100,85,0.28,0.225
"Carbone, Cole","2024",189,161,129,0.28,0.282
"Chatelle, Matthew","2023",387,356,324,0.28,0.296
"DeJohn, Jackson","2022",187,156,126,0.28,0.278
"Kelsey, Alex","2026",157,135,128,0.28,0.235
"Minckler, Matthew","2025",314,289,245,0.28,0.289
"Orbon, Luke","2024",320,286,226,0.28,0.305
"Rogers, Jordon","2021",177,161,125,0.28,0.308
"Stang, Bobby","2026",105,101,82,0.28,0.325
"Thomas, Nathan","2021",58,48,38,0.28,0.318
"Davis, Jakobi","2023",435,396,352,0.279,0.286
"DiGeorgio, Danny","2021",87,83,79,0.279,0.272
"High, Hunter","2025",146,130,114,0.279,0.285
"Kingsbury, Hunter","2026",253,240,198,0.279,0.315
"McElroy, Jake","2023",364,305,267,0.279,0.253
"Mendez, David","2024",160,149,133,0.279,0.279
"Smith, Braeden","2025",281,250,214,0.279,0.279
"Whitley, Aaron","2023",346,315,289,0.279,0.291
"Bade, Devan","2022",560,513,449,0.278,0.301
"Butera, Christian","2026",147,111,74,0.278,0.282
"King, Trey","2025",511,458,430,0.278,0.272
"McGinnis, Colemen","2025",116,112,100,0.278,0.295
"Morales, Antonio","2026",88,67,58,0.278,0.183
"Terwilliger, Jacob","2022",192,166,98,0.278,0.361
"DiLuca, Lucas","2022",361,312,272,0.277,0.243
"Napolitano, Paul","2025",102,95,89,0.277,0.263
"Pierzynski, Austin","2026",107,92,68,0.277,0.303
"Saul, Charlie","2026",142,121,86,0.277,0.32
"Stricklin, Cale","2025",10,6,4,0.277,0.003
"Sullivan, William","2022",583,519,451,0.277,0.304
"Bianchina, Vincent","2023",204,174,154,0.276,0.285
"Hauser, Rex","2026",62,55,42,0.276,0.293
"Miles, Elliot","2026",195,173,138,0.276,0.28
"Mitchelle, Christian","2024",98,84,70,0.276,0.249
"Mutz, Brady","2022",419,395,359,0.276,0.284
"Notarangelo, Nick","2022",10,2,0,0.276,0.007
"Perazza, Michael","2025",176,166,154,0.276,0.289
"Black, Dixon","2023",343,295,245,0.275,0.298
"Casaleggio, Michael","2022",569,526,462,0.275,0.3
"Lincoln, Nathan","2023",571,502,440,0.275,0.304
"Milewski, Kevin","2025",86,74,60,0.275,0.257
"Navyac, JT","2023",255,227,191,0.275,0.324
"Ritch, Alec","2023",120,116,92,0.275,0.328
"Sornas, Bryan","2026",63,45,15,0.275,0.372
"Sullivan, Billy","2023",545,518,472,0.275,0.278
"Bermudez, David","2022",776,719,671,0.274,0.285
"Crossen, Danny","2021",95,81,73,0.274,0.253
"Elbeery, Jake","2022",85,77,69,0.274,0.257
"Hernandez, Mateo","2024",265,233,171,0.274,0.332
"Link, Peter","2026",82,69,41,0.274,0.328
"Moriarty, Conor","2025",212,179,137,0.274,0.303
"Toth, Michael","2024",337,295,227,0.274,0.291
"Ahlers, Tommy","2025",632,577,519,0.273,0.282
"Brotz, Anthony","2025",539,515,491,0.273,0.266
"Gasser, Camden","2023",92,70,64,0.273,0.156
"Jans, Chase","2024",283,254,226,0.273,0.265
"McElroy, Jake","2021",29,25,17,0.273,0.304
"Taylor, Charlie","2022",221,207,167,0.273,0.304
"Barditch, Jonathan","2021",331,300,272,0.272,0.263
"Battipaglia, Ian","2023",366,315,247,0.272,0.33
"Giordano, Evan","2021",55,53,45,0.272,0.301
"Rivera, Noel","2026",137,119,107,0.272,0.233
"Whitehill, Simmi","2026",178,155,112,0.272,0.29
"Berger, Jake","2023",482,382,332,0.271,0.26
"Claiborn, Jason","2023",398,364,316,0.271,0.296
"Paris, Derek","2024",310,281,253,0.271,0.277
"Pregent, Christian","2022",324,286,236,0.271,0.331
"Salva, Guriyandel","2026",52,45,45,0.271,0.267
"Sullivan, Gibby","2025",73,69,65,0.271,0.262
"Castellani, Josh","2025",313,285,225,0.27,0.289
"Cunningham, Kai","2025",246,212,192,0.27,0.224
"Novak, Jayden","2025",47,45,37,0.27,0.306
"Payton, Jack","2021",46,34,28,0.27,0.148
"Stephenson, Sean","2026",63,61,49,0.27,0.318
"Toole, Josh","2026",85,72,49,0.27,0.286
"Epstein, Tyler","2022",223,211,189,0.269,0.274
"Ferrentino, Frankie","2024",175,175,165,0.269,0.285
"Mershon, Peter","2026",51,43,30,0.269,0.274
"Miles, Elliot","2025",203,189,167,0.269,0.286
"Overton, Matthew","2021",33,31,25,0.269,0.299
"Wachter, Nater","2025",270,240,186,0.269,0.294
"Wensley, Casey","2026",226,183,167,0.269,0.298
"Wertz, Andrew","2024",19,15,13,0.269,0.18
"Williams, David","2021",39,32,22,0.269,0.257
"Arnold, Zach","2021",19,19,17,0.268,0.3
"Cannizzaro, Chris","2021",36,30,24,0.268,0.23
"Gold, Brady","2026",3,2,2,0.268,0.058
"Hylton, Brandon","2021",161,153,131,0.268,0.288
"Kavanaugh, Ethan","2023",144,130,116,0.268,0.273
"Knox, Johnny","2024",324,283,237,0.268,0.27
"Kolben, Ryan","2024",182,156,114,0.268,0.27
"Sengenberger, Aidan","2026",143,117,82,0.268,0.258
"Snyder, Michael","2023",182,170,142,0.268,0.285
"Wilde, Aidan","2021",93,78,64,0.267,0.226
"Alicea, Alex","2024",211,177,159,0.266,0.253
"Carpenter, Grayson","2026",203,187,171,0.266,0.255
"Elbeery, Jake","2025",158,142,126,0.266,0.247
"Pierantoni, Jeff","2023",579,538,494,0.266,0.254
"Wilson, Ethan","2025",350,316,246,0.266,0.282
"Callahan, Tim","2023",44,42,36,0.265,0.286
"Jones, Tyler","2026",60,55,36,0.265,0.346
"Lynch, Jack","2022",377,331,295,0.265,0.283
"Maag, Alec","2022",56,52,36,0.265,0.336
"Morales, Antonio","2024",528,460,428,0.265,0.238
"Soul, Nico","2026",130,117,85,0.265,0.316
"Gallo, Pierce","2021",196,180,148,0.264,0.293
"Jones, JD","2024",323,294,262,0.264,0.268
"Latham, Tristan","2021",18,12,8,0.264,0.077
"Gale, William","2023",701,646,596,0.263,0.266
"Kozar, Rees","2025",462,432,392,0.263,0.271
"Perry, Hayden","2025",128,124,90,0.263,0.344
"Almonte, Matt","2022",361,347,301,0.262,0.292
"Balcer, Jack","2026",89,76,55,0.262,0.287
"Born, Chad","2023",191,173,149,0.262,0.262
"Bosland, Justin","2022",268,230,190,0.262,0.231
"Bowker, Cody","2023",81,75,57,0.262,0.3
"Donohue, Gavin","2026",226,186,142,0.262,0.325
"Greco, Anthony","2025",624,571,515,0.262,0.28
"Kulasingam, Sam","2022",344,320,294,0.262,0.259
"Robertson, Creek","2022",428,393,315,0.262,0.296
"Roper, Jake","2021",27,21,13,0.262,0.225
"Russell, Devin","2024",30,26,12,0.262,0.426
"Santerre, Cameron","2023",193,171,149,0.262,0.237
"Coley, Mark","2021",176,171,163,0.261,0.261
"Cox, Tyler","2022",732,649,613,0.261,0.278
"Francuzenko, Nicholas","2026",251,209,166,0.261,0.224
"Jenkins, Jeremiah","2023",541,494,420,0.261,0.285
"Kodali, Devan","2024",238,214,148,0.261,0.309
"Leighton, Nathaniel","2026",56,56,49,0.261,0.299
"Perez, Brooks","2026",127,105,75,0.261,0.239
"Brown, Harrison","2022",354,308,260,0.26,0.264
"Craigue, Brooks","2024",90,75,63,0.26,0.207
"Decker, Johnny","2022",289,253,201,0.26,0.264
"Diamant, Demitri","2024",132,122,96,0.26,0.285
"House, Brett","2024",245,213,163,0.26,0.315
"Livermore, Tony","2023",389,349,303,0.26,0.27
"Slater, Jay","2026",20,14,12,0.26,0.203
"Tomaini, Paxton","2022",377,336,286,0.26,0.28
"Botti, Aidan","2026",102,96,74,0.259,0.301
"Hylton, Brandon","2023",114,108,98,0.259,0.259
"Jeremiah, Jace","2023",301,275,237,0.259,0.271
"Kirtley, Ryder","2025",187,163,95,0.259,0.336
"Viera, Max","2022",451,413,373,0.259,0.274
"Simpson, Maddix","2026",130,98,82,0.258,0.25
"Acker, Ty","2025",242,238,200,0.257,0.297
"Gavello, Thomas","2021",153,136,110,0.257,0.25
"Palmer, Dylan","2023",398,371,351,0.257,0.238
"Berger, Jake","2021",75,75,69,0.256,0.278
"Courtney, Tommy","2021",49,49,45,0.256,0.279
"Golinski, Braden","2021",52,42,36,0.256,0.254
"Holzemer, Warren","2024",215,195,165,0.256,0.284
"Marrero, Nick","2021",14,10,8,0.256,0.103
"McGuire, Timothy","2024",338,283,239,0.256,0.249
"Monque, Joaquin","2022",172,152,126,0.256,0.24
"Shaver, Anthony","2021",25,17,15,0.256,0.059
"Costello, Lucas","2022",443,413,381,0.255,0.242
"Flores, Randy","2022",129,114,110,0.255,0.205
"Hampton, Will","2026",114,94,91,0.255,0.176
"Holt, Travis","2021",79,77,67,0.255,0.28
"Mascolo, Cole","2024",291,266,206,0.255,0.276
"Smith, Noah","2023",272,247,227,0.255,0.242
"Wolf, Mason","2023",311,276,248,0.255,0.255
"Brazil, Dylan","2021",89,80,66,0.254,0.301
"Broadhurst, Luke","2022",149,112,90,0.254,0.207
"Jaros, Ryan","2025",272,254,230,0.254,0.258
"Kiely, Conor","2023",10,10,8,0.254,0.318
"Lussier, Shane","2022",195,185,153,0.254,0.278
"Raba, Zane","2022",64,58,50,0.254,0.243
"Flores, Randy","2023",100,90,86,0.253,0.214
"Ligenza, Mason","2026",167,150,119,0.253,0.263
"Quagliato, Nick","2026",204,177,147,0.253,0.229
"Ruiz, Justin","2026",64,55,45,0.253,0.222
"Shaheen, Will","2026",108,99,74,0.253,0.286
"Trigiani, Luca","2022",620,590,528,0.253,0.268
"Parrillo, Cal","2022",210,178,164,0.252,0.222
"Areizaga, Adrian","2025",227,196,160,0.251,0.257
"Goehrig, Michael","2022",231,226,188,0.251,0.29
"McKenzie, Tyler","2023",340,303,247,0.251,0.242
"Smith, Spenser","2022",268,243,211,0.251,0.237
"Castronovo, Vincenzo","2021",12,10,4,0.25,0.751
"Lopez, Nelphie","2024",420,374,310,0.25,0.275
"McAlister, Tristan","2022",453,429,371,0.25,0.275
"Proto, Ryan","2023",180,170,148,0.25,0.258
"Bello, Mike","2023",16,12,12,0.249,0.102
"Chatfield, Jimmy","2022",78,70,50,0.249,0.277
"Fosberg, Will","2025",229,194,164,0.249,0.201
"Anglin, Gehrig","2021",75,67,59,0.248,0.221
"Estep, Brice","2025",280,246,184,0.248,0.25
"Fagnant, Christian","2022",132,122,82,0.248,0.316
"Kamin, Jack","2026",123,113,88,0.248,0.283
"Parrillo, Cal","2023",544,482,450,0.248,0.254
"White, Jermaine","2022",342,303,253,0.248,0.259
"Flint, Tucker","2021",54,42,36,0.247,0.14
"Kirkpatrick, Sam","2023",480,440,416,0.247,0.256
"Knapp, Alex","2022",439,399,313,0.247,0.279
"Maldonado, Cameron","2023",174,150,110,0.247,0.241
"Maves, Kyle","2022",196,182,144,0.247,0.269
"Stephenson, Sean","2025",274,256,238,0.247,0.232
"White, Austin","2021",178,164,148,0.247,0.251
"Anderson, Brandon","2022",260,246,216,0.246,0.251
"Brinker, Matthew","2023",209,172,124,0.246,0.259
"Hurt, Willie","2026",174,144,109,0.246,0.235
"Aquino, Pablo","2026",33,29,21,0.245,0.253
"Maggy, Ryan","2026",26,22,15,0.245,0.241
"Martin, Kaden","2023",153,129,98,0.245,0.269
"Stecko, Ty","2025",43,37,23,0.245,0.278
"Mowry, Collin","2026",138,132,102,0.244,0.296
"Rounds, Benzan","2022",230,210,178,0.244,0.246
"Scanlon, Sean","2023",184,155,123,0.244,0.225
"Ward, Blaize","2026",111,93,78,0.244,0.206
"Butler, Justin","2024",121,111,91,0.243,0.247
"Calero, Keagan","2022",171,145,127,0.243,0.208
"Cone, Jack","2022",419,374,340,0.243,0.233
"DeMartinis, Stanley","2022",389,356,300,0.243,0.248
"Goodner, Harley","2025",180,158,116,0.243,0.245
"Irizarry, Alex","2025",229,206,180,0.243,0.255
"Larson, Brandon","2026",69,63,44,0.243,0.287
"Mascolo, Cole","2025",94,71,51,0.243,0.138
"Novak, Kyle","2022",290,265,235,0.243,0.264
"Reynolds, Jack","2023",432,365,297,0.243,0.237
"Rice, Trent","2026",106,84,69,0.243,0.174
"Sherman, Sam","2023",187,175,145,0.243,0.256
"Stewart, Aiden","2023",305,271,233,0.243,0.235
"Graziano, Michael","2024",107,90,60,0.242,0.235
"Kirkpatrick, Sam","2021",94,83,77,0.242,0.277
"Landwehr, JT","2024",236,208,196,0.242,0.192
"Stella, Joe","2024",148,126,100,0.242,0.269
"Bianchina, Vince","2024",104,86,70,0.241,0.28
"Labrador, Daniel","2024",145,134,112,0.241,0.269
"Padilla, Bryan","2023",462,421,381,0.241,0.218
"Parks, Samuel","2025",373,299,253,0.241,0.186
"Robison, Curtis","2021",65,56,50,0.241,0.189
"Scilley, Landon","2025",159,147,125,0.241,0.241
"Carter, Brendan","2024",12,12,8,0.24,0.36
"Donlon, Lucas","2021",162,131,99,0.24,0.204
"Livermore, Anthony","2023",32,32,28,0.24,0.274
"Rios, Joe","2023",251,243,189,0.24,0.304
"Shpur, Caleb","2023",248,222,198,0.24,0.21
"Branch, Kyle","2025",390,349,311,0.239,0.217
"Hannon, Kyle","2022",237,223,191,0.239,0.247
"Holtz, Jeff","2021",56,56,53,0.239,0.253
"Johnson, Max","2022",278,250,182,0.239,0.259
"Landwehr, JT","2025",136,110,98,0.239,0.177
"Lussier, Matt","2024",129,108,88,0.239,0.256
"McGirt, Troy","2022",145,137,101,0.239,0.289
"Murtha, Brock","2021",97,86,66,0.239,0.236
"Plasschaert, Zach","2025",333,315,237,0.239,0.283
"Andrews, Jack","2024",123,113,95,0.238,0.236
"Decker, Dominic","2024",10,10,8,0.238,0.298
"Handal, Michael","2023",152,127,105,0.238,0.181
"McElroy, Jake","2022",557,497,439,0.238,0.249
"Ostberg, Ian","2021",21,21,21,0.238,0.238
"Applefield, Kalen","2026",137,122,104,0.237,0.212
"Bell, Jake","2026",92,88,59,0.237,0.322
"Fote, Tyler","2022",274,255,206,0.237,0.279
"Kron, Drew","2023",287,260,226,0.237,0.265
"McAndrews, Thomas","2024",227,203,135,0.237,0.275
"Ramirez, Yeudy","2025",301,273,223,0.237,0.233
"Cordeiro, Antonio","2026",53,46,26,0.236,0.296
"Jenkins, Luke","2025",463,439,401,0.236,0.238
"Mendes, Alexander","2025",316,267,241,0.236,0.206
"Wright, Brooks","2025",242,229,191,0.236,0.263
"Collender, Sebastian","2026",78,64,42,0.235,0.207
"Giesler, John","2022",49,42,34,0.235,0.197
"Izquierdo, Victor","2024",104,90,76,0.235,0.195
"Rhoades, Sebastian","2026",108,95,75,0.235,0.264
"Sherman, Sam","2024",203,185,159,0.235,0.221
"Woods, Matt","2021",76,70,62,0.235,0.221
"Messinger, Skyler","2021",51,49,37,0.234,0.285
"Monque, Joacquin","2022",9,6,4,0.234,0.009
"Petrich, Owen","2024",164,160,148,0.234,0.24
"LaFleur, John","2025",91,81,73,0.233,0.196
"Shealor, Bennett","2025",232,200,170,0.233,0.205
"Esquer, Xavier","2023",161,147,129,0.232,0.237
"McGinnis, Coleman","2025",75,69,49,0.232,0.271
"Rudisill, Bryce","2026",139,118,80,0.232,0.265
"Steele, Anthony","2022",37,27,23,0.232,0.074
"Jones, Levi","2026",163,126,93,0.231,0.257
"Nardi, Ben","2022",234,203,173,0.231,0.241
"Schmidt, Carl","2024",176,162,136,0.231,0.228
"Young, Tyler","2023",243,229,195,0.231,0.252
"Connolly, Brian","2025",127,121,107,0.23,0.234
"Dalton, Brody","2025",151,145,123,0.23,0.249
"Grace, Drew","2021",23,23,21,0.23,0.252
"Lotito, Christopher","2022",37,33,17,0.23,0.501
"Miceli, Matt","2023",542,504,470,0.23,0.228
"Scanlon, Sean","2025",119,99,65,0.23,0.252
"Suarez, JD","2024",177,153,129,0.23,0.187
"Lanowitz, Corbin","2024",389,346,324,0.229,0.222
"Salvo, Joseph","2023",85,73,57,0.229,0.196
"Freeman, Kolton","2023",282,249,207,0.228,0.244
"Miceli, Matt","2024",378,332,304,0.228,0.209
"Duffey, Alex","2022",26,21,13,0.226,0.187
"Kramer, Jayson","2022",500,465,421,0.226,0.226
"Niswonger, Jack","2026",20,14,9,0.226,0.119
"Wang, Nick","2022",221,201,167,0.226,0.232
"Covas, Alejandro","2025",31,29,19,0.225,0.294
"Durand, Brandyn","2025",384,354,282,0.225,0.243
"Frontera, Ryan","2026",31,26,21,0.225,0.201
"Kaufman, Ty","2022",124,116,94,0.225,0.238
"Rodriguez, Damian","2025",264,255,239,0.225,0.222
"Smith, Avery","2026",101,85,67,0.225,0.174
"Bianchi, Vinny","2021",40,36,32,0.224,0.194
"Butler, Jake","2026",99,80,59,0.224,0.176
"Cashman, Teddy","2026",47,44,25,0.224,0.338
"Edelman, Mikey","2021",31,22,22,0.224,0.033
"Kiely, Conor","2021",194,173,151,0.224,0.233
"O'Connell, Thomas","2026",127,110,87,0.224,0.2
"Pincince, Owen","2025",52,48,46,0.224,0.194
"Cordova, Ramses","2023",260,244,212,0.223,0.235
"Luders, Jon","2022",394,359,347,0.223,0.188
"Martinez, Andre","2023",108,81,65,0.223,0.222
"Rubin, Joseph","2023",19,19,17,0.223,0.249
"Cowan, Will","2026",38,34,28,0.222,0.203
"Selinger, Zachary","2021",18,12,8,0.222,0.327
"Shockley, Jason","2023",93,87,71,0.222,0.233
"Skagerlind, Kevin","2022",366,311,273,0.222,0.169
"Wells, Tyler","2022",124,112,98,0.222,0.224
"Barksdale, Nathan","2024",95,85,71,0.221,0.199
"Camelo, Parker","2026",168,148,122,0.221,0.202
"Delph, Michael","2026",69,53,30,0.221,0.231
"Jaconski, Joseph","2022",471,451,399,0.221,0.226
"Leuthner, Stanton","2021",76,66,56,0.221,0.177
"Melnick, Danny","2022",342,320,290,0.221,0.217
"Venditti, Vincent","2024",16,10,8,0.221,0.27
"Arias, Owen","2026",77,63,44,0.22,0.18
"Castrataro, Tyler","2026",100,87,72,0.22,0.21
"Curtis, Jackson","2024",48,40,30,0.22,0.167
"Foody, Ryan","2025",79,73,57,0.22,0.232
"Guerrero, A.J","2022",14,10,8,0.22,0.385
"Grodell, Tyler","2022",425,405,349,0.219,0.227
"Voss, Nate","2024",89,70,66,0.219,0.19
"Callahan, Timothy","2023",39,33,33,0.218,0.216
"Franco, Cesar","2022",320,284,244,0.218,0.195
"Laprairie, Jacob","2021",75,71,63,0.218,0.216
"McGee, James","2026",127,116,106,0.218,0.19
"Toth, Michael","2025",266,248,214,0.218,0.214
"Durocher, Pete","2023",444,419,371,0.217,0.213
"Fox, Evan","2023",258,212,198,0.217,0.164
"Francella, Kevin","2025",99,91,73,0.217,0.218
"Iannazzo, Michael","2025",460,420,394,0.217,0.204
"Lucas, MJ","2022",230,191,133,0.217,0.262
"Bello, Michael","2022",271,253,243,0.216,0.189
"Shilling, Matt","2021",178,158,136,0.216,0.182
"Ainsworth, Addison","2025",210,194,172,0.215,0.199
"Alvarez, David","2025",260,242,216,0.215,0.23
"Battipaglia, Ian","2022",478,442,394,0.215,0.213
"Maloney, Matthew","2023",223,203,187,0.215,0.212
"O'Brien, Brady","2022",296,257,217,0.215,0.21
"Rollo, Jack","2025",50,40,38,0.215,0.247
"Spiegel, Josh","2022",155,147,119,0.215,0.234
"Bradfield, Jackson","2026",42,39,27,0.214,0.256
"George, Jamal","2025",200,178,138,0.214,0.241
"Lynch, Colin","2026",12,10,5,0.214,0.239
"Forde, Aedan","2024",128,118,108,0.213,0.201
"Jackson Jr., Derrick","2023",112,96,60,0.213,0.259
"Messervy, Peter","2023",288,269,243,0.213,0.207
"Stellrecht, Michael","2025",243,201,185,0.213,0.137
"Willhoite, Trace","2022",145,133,103,0.213,0.219
"Zajec, Max","2021",30,22,16,0.213,0.055
"Carpenter, Joseph","2021",67,59,55,0.212,0.158
"Dalena, Maddix","2023",281,246,198,0.212,0.238
"Belcher, Nolan","2026",71,67,59,0.211,0.207
"Digiacomo, Roman","2023",261,248,226,0.211,0.231
"O'Connor, Keegan","2023",77,69,47,0.211,0.229
"Catrine, Kevin","2021",32,28,16,0.21,0.247
"Colella, Matthew","2026",149,133,116,0.21,0.199
"Keith, Tyler","2021",123,106,78,0.21,0.26
"Sherwin, Anthony","2023",101,91,67,0.21,0.214
"Sleight, Evan","2021",228,213,185,0.21,0.203
"Werkheiser, Ben","2021",25,23,19,0.21,0.204
"D'Amico, Pat","2023",216,195,155,0.209,0.216
"Garbowski, Kyle","2025",500,464,432,0.209,0.204
"Jarrell, Jake","2023",10,10,8,0.209,0.261
"Reyes, Luca","2025",72,63,49,0.209,0.181
"Singsank, Cole","2022",59,57,53,0.209,0.206
"Wright, Aydin","2024",109,77,77,0.209,0.125
"G, Player","2024",8,6,6,0.208,0.047
"Meluskey, Thomas","2025",105,95,87,0.208,0.204
"Strmecki, Henry","2022",286,261,215,0.208,0.21
"Bavaro, Will","2026",55,48,32,0.207,0.227
"Flynn, Liam","2026",27,23,14,0.207,0.201
"LoBello, Nicolas","2026",154,143,103,0.207,0.236
"Nicol, Jeff","2023",27,21,17,0.206,0.084
"D, Player","2024",13,11,11,0.204,0.116
"Levesque, Alex","2025",40,34,20,0.204,0.202
"Marquez, Jake","2023",47,45,37,0.204,0.221
"Norton, Jace","2024",23,21,13,0.204,0.254
"Piacentino, John","2022",37,31,19,0.204,0.18
"Powers, Jackson","2025",258,239,223,0.203,0.204
"Sullivan, Billy","2022",37,35,30,0.203,0.204
"Vergantino, Will","2021",32,28,16,0.203,0.233
"Walker, Andrew","2021",115,104,88,0.203,0.18
"Broecker, Bryan","2023",138,126,110,0.202,0.203
"McAllister, Levi","2023",161,153,109,0.202,0.248
"E, Player","2024",8,6,4,0.201,0.058
"Esquivel, Eddison","2026",102,88,68,0.201,0.159
"Palinski, Max","2025",182,151,147,0.201,0.146
"Puig, Alejandro","2026",121,112,86,0.201,0.235
"Sierra, Justin","2022",228,208,178,0.201,0.195
"Carlson, Hayden","2024",280,260,190,0.2,0.222
"Hernandez, Roddy","2022",66,64,40,0.2,0.295
"Hackett, Justin","2026",142,129,101,0.199,0.19
"Melendez, Axel S.","2021",49,41,21,0.199,0.333
"Peek, Connor","2025",174,153,149,0.199,0.135
"Austin, Trevor","2022",88,75,69,0.198,0.182
"Jackson, Alexander","2021",28,24,24,0.198,0.116
"Medina, Ronnie","2021",38,32,28,0.198,0.121
"Bernardini, Cristian","2024",248,223,185,0.197,0.186
"Bianco, Andrew","2024",350,317,269,0.197,0.205
"Knight, Chad","2021",207,184,152,0.197,0.223
"Cavazzoni, Gabe","2026",56,49,29,0.196,0.213
"Staubley, Brennan","2026",195,186,172,0.196,0.195
"Johnson, Cameron","2023",321,302,250,0.195,0.198
"Stevens, Logan","2021",37,33,27,0.195,0.217
"Catlin, Riggs","2026",20,18,11,0.194,0.227
"Whitacre, Zack","2022",178,168,148,0.194,0.187
"Broski, Adam","2026",165,156,119,0.193,0.222
"Defabbia, Anthony","2022",80,78,68,0.193,0.207
"Juran, Adam","2021",41,30,26,0.193,0.012
"Maloney, Matthew","2022",137,129,93,0.193,0.225
"McKenzie, Jackson","2024",90,78,50,0.192,0.18
"Roche, Michael","2022",21,21,21,0.192,0.192
"Bullard, Jake","2023",180,155,113,0.191,0.219
"Davis, Chris","2021",150,138,112,0.191,0.206
"Clark, Jared","2024",41,35,29,0.19,0.126
"Pacheco, DJ","2023",212,178,136,0.19,0.185
"Llopiz, DeAndre","2023",83,71,53,0.189,0.192
"Novak, Jayden","2026",56,51,38,0.189,0.187
"Ramppen, Zach","2024",25,25,25,0.189,0.189
"Westcott, Drake","2021",72,57,45,0.188,0.209
"Infante, Danny","2025",72,62,50,0.187,0.132
"Lovinelli, Madux","2026",61,55,45,0.187,0.162
"Romatzick, JJ","2026",127,109,87,0.187,0.131
"Scott, Mason","2026",11,9,3,0.187,0.225
"Burgos, Jorge","2025",92,88,86,0.186,0.167
