"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Chambers, Logan","2022",549,498,442,0.451,0.481
"Josten, Tom","2022",371,315,267,0.451,0.482
"Marra, Ryan","2021",47,37,33,0.451,0.433
"Hare, Tyler","2023",528,467,365,0.45,0.56
"Link, Peter","2025",482,428,346,0.45,0.536
"Ritchie, Kollin","2024",108,94,80,0.45,0.486
"Snyder, Michael","2022",594,536,472,0.449,0.5
"Zirwas, Devan","2026",184,152,125,0.449,0.49
"Burdette, Clay","2025",274,239,217,0.448,0.496
"Castro, Manuel","2026",2,2,2,0.448,0.448
"Hogart, Jonathan","2024",655,528,454,0.448,0.514
"Reese, Ripken","2024",536,481,373,0.448,0.542
"Brown, Cade","2025",244,220,188,0.447,0.507
"Bushling, Zach","2021",128,116,106,0.447,0.462
"Hernandez, Javon","2023",491,454,424,0.446,0.47
"Preisano, Ryan","2026",73,63,53,0.446,0.51
"Rodriguez, Josh","2021",66,62,46,0.446,0.58
"Kretzschmar, Kade","2022",83,72,66,0.445,0.444
"Miller, Khyree","2022",509,469,389,0.445,0.511
"Rosso, Santino","2023",633,571,521,0.445,0.488
"Thomas, Hank","2022",557,508,428,0.445,0.507
"Gaer, Brandon","2024",68,58,50,0.444,0.465
"Cash, Donovan","2024",621,571,515,0.442,0.477
"Cason, JuJuan","2021",64,62,50,0.441,0.537
"Rafistanger, Jayder","2024",246,196,154,0.441,0.481
"Shliger, Luke","2021",25,18,14,0.441,0.442
"Cochrane, Sam","2021",387,351,321,0.44,0.462
"McDaniel, Quinn","2022",769,703,609,0.44,0.485
"Kross, Josh","2024",207,172,146,0.439,0.542
"Cloud, Caeden","2026",112,94,71,0.438,0.535
"Broecker, Bryan","2022",170,147,131,0.437,0.446
"Dalena, Maddix","2025",285,261,241,0.437,0.448
"Griffith, Banks","2021",80,65,59,0.437,0.546
"Bravo, Logan","2021",52,44,32,0.436,0.536
"DeMastrie, AJ","2026",98,94,81,0.436,0.494
"Tuccillo, Johnny","2021",39,37,37,0.436,0.422
"DeMartinis, Stanley","2023",364,320,284,0.435,0.46
"Graeber, Aaron","2024",164,144,112,0.435,0.513
"Hare, Tyler","2024",594,516,406,0.435,0.511
"La Rocca, Mike","2023",19,19,17,0.435,0.486
"Waugh, Nathan","2024",248,224,176,0.435,0.534
"Walton, Aaron","2024",379,336,298,0.434,0.482
"Ramirez, Alex","2022",305,275,211,0.433,0.528
"Stevens, Julian","2024",431,396,350,0.433,0.49
"Carpenter, Troy","2026",238,223,167,0.432,0.57
"Donofrio, Anthony","2023",211,203,183,0.432,0.468
"Baruch, Daniel","2022",238,214,142,0.431,0.605
"Calarco, Alex","2024",395,345,291,0.431,0.495
"Hohenstein, Nick","2022",8,8,4,0.431,0.863
"Spaventa, Nicholas","2026",69,63,48,0.431,0.533
"Sullivan, William","2021",50,46,32,0.431,0.587
"Edmunds, Jack","2026",67,59,37,0.43,0.629
"Hart, Brian","2021",49,41,31,0.43,0.502
"Lutte, Jack","2026",121,99,85,0.43,0.458
"Milner, Beck","2024",217,191,159,0.43,0.475
"Stevens, Nolan","2024",686,626,550,0.43,0.466
"D'Amore, Dante","2024",556,488,402,0.429,0.522
"Detwiler, Bryce","2026",206,184,154,0.429,0.475
"Franzoni, Paul","2021",39,29,23,0.429,0.428
"Guerrera, Justin","2021",180,162,132,0.428,0.49
"Martinez, Noah","2022",513,482,426,0.428,0.465
"Bentley, Carter","2025",288,254,228,0.427,0.437
"Brinker, Matt","2024",447,404,344,0.427,0.484
"Hylton, Jayden","2023",210,199,165,0.427,0.498
"McCann, David","2024",271,240,214,0.427,0.48
"Spaventa, Nicholas","2025",452,408,366,0.427,0.46
"Cohall, Aidan","2025",79,73,57,0.426,0.518
"Sullivan, Evin","2024",282,266,248,0.426,0.451
"Bade, Devan","2024",689,634,564,0.425,0.47
"Beattie, Chase","2024",10,4,4,0.425,0.028
"Genther, Eric","2023",131,127,123,0.425,0.43
"Griffis, Evan","2023",316,289,255,0.425,0.478
"Gustin, Jake","2021",90,84,80,0.425,0.461
"Miller, Jackson","2025",274,231,205,0.425,0.437
"Lane, Alex","2022",390,358,298,0.424,0.49
"Selinsky, Skye","2024",429,354,306,0.424,0.468
"Hussey, Daniel","2023",30,25,17,0.423,0.543
"Preisano, Ryan","2024",464,422,360,0.423,0.473
"Gettinger, Sam","2026",7,5,3,0.422,0.525
"Retzbach, Adam","2022",346,306,278,0.422,0.425
"Smith, Spenser","2021",274,242,210,0.422,0.446
"Welshans, Alec","2025",193,185,157,0.422,0.483
"Seymour, Randy","2025",592,567,491,0.421,0.478
"Williams, Dixon","2024",672,566,532,0.42,0.441
"Duncan, Andrew","2024",558,487,387,0.419,0.485
"Housinger, Jack","2021",32,26,24,0.419,0.386
"Hylton, Jayden","2024",256,239,201,0.419,0.476
"Farrell, Max","2026",193,166,142,0.418,0.442
"Phinney, Jackson","2023",393,365,303,0.418,0.488
"Bitove, Brodey","2026",100,84,68,0.417,0.45
"Hepworth, Carson","2025",60,51,45,0.416,0.416
"Kaufer, Max","2023",295,257,223,0.416,0.445
"Myers, Adarius","2022",163,151,133,0.416,0.448
"Labrador, Daniel","2023",250,235,199,0.415,0.48
"Malzone, Aj","2024",12,10,8,0.415,0.45
"Schuyler, T.J.","2026",162,151,132,0.415,0.457
"Speirs, Gavin","2026",171,153,129,0.415,0.454
"Anderson, Collin","2026",177,143,129,0.414,0.451
"Dalena, Maddix","2024",344,287,241,0.414,0.462
"Feinberg, Harrison","2022",383,344,294,0.414,0.478
"Feinberg, Harrison","2023",551,486,402,0.414,0.463
"Hindle, Will","2024",103,103,97,0.413,0.439
"Rios, Lorenzo","2024",262,238,208,0.413,0.441
"Wachter, Nater","2026",257,232,186,0.413,0.482
"Guerrero, AJ","2022",374,347,313,0.412,0.432
"Andrews, Cole","2021",48,44,32,0.411,0.53
"Zambo, Mason","2024",342,326,286,0.411,0.453
"Cook, Jake","2023",53,45,41,0.41,0.395
"Brito, Christopher","2021",86,78,64,0.409,0.463
"Ganus, Tyler","2024",370,326,294,0.409,0.44
"Brown-Eiring, Matthew","2022",109,103,77,0.408,0.524
"Gilio, Ashtin","2025",57,47,31,0.408,0.528
"Studley, Jake","2022",638,613,555,0.408,0.438
"Butler, Rob","2024",204,177,125,0.407,0.565
"Guerrero, Antonio","2023",661,623,547,0.407,0.449
"Willi, Marc","2024",281,254,192,0.407,0.505
"Lybrook, William","2024",446,401,327,0.406,0.486
"Notarangelo, Nic","2024",273,243,211,0.406,0.453
"Pagliarini, Charlie","2022",437,379,281,0.406,0.508
"Douin, Kyle","2025",392,362,358,0.405,0.394
"Herring, Jack","2025",653,581,521,0.405,0.417
"Mahala, Will","2026",104,91,62,0.405,0.546
"Mongelli, Sam","2023",70,68,68,0.405,0.397
"Horton, Brayden","2023",422,369,285,0.404,0.48
"Martinez, Carlos Elian","2024",382,349,309,0.404,0.425
"Almonte, Matt","2021",50,44,40,0.403,0.4
"Crowley, Colin","2026",12,9,6,0.403,0.462
"McGovern, Garrett","2026",21,19,14,0.403,0.506
"Pittaro, Christopher","2021",203,197,173,0.403,0.448
"Rainess, Jake","2022",410,387,323,0.403,0.463
"Sass, Ray","2022",33,21,17,0.403,0.295
"Smith, Jackson","2026",229,198,170,0.403,0.434
"Butler, Rob","2023",218,207,171,0.402,0.468
"McCoy, Ryan","2023",514,433,347,0.402,0.442
"Bullard, Jake","2022",144,134,94,0.401,0.541
"Cassaleggio, Michael","2021",20,20,14,0.401,0.573
"Craska, Petey","2025",397,336,264,0.401,0.456
"Lutte, Jack","2025",497,413,373,0.401,0.407
"Novak, Ryan","2025",389,343,291,0.401,0.427
"Urreta, Diego","2025",297,232,210,0.401,0.354
"DiGiacomo, Roman","2024",265,253,227,0.4,0.431
"Malone, Matt","2022",17,17,17,0.4,0.4
"Rice, Garrett","2022",489,453,393,0.4,0.441
"Scanlon, Christian","2025",385,341,293,0.4,0.423
"Boynton, Luke","2023",377,349,303,0.399,0.433
"Estrella, Andrew","2024",247,237,193,0.399,0.475
"Gandy, Gus","2026",258,235,201,0.399,0.433
"Mentzer, Kobe","2024",307,247,221,0.399,0.405
"Sabathia, Carsten","2023",455,409,359,0.399,0.45
"Lipsey, Marshall","2025",467,392,344,0.398,0.396
"Rose, Cedric","2022",638,595,537,0.398,0.417
"Schaaf, Blake","2025",251,225,195,0.398,0.434
"Willis, CJ","2024",545,462,410,0.398,0.418
